content_id,title,type,release_year,primary_genre,duration_minutes,production_country_id,original_language_id,marketing_id
CNT0001,After Empire,Movie,2024,Comedy,150,1,10,MKT034
CNT0002,Tokyo Edge,Series,2023,Thriller,880,7,60,MKT043
CNT0003,City of Seoul,Movie,2026,Thriller,88,3,30,MKT038
CNT0004,Luz Oscura,Movie,2023,Comedy,87,1,40,MKT003
CNT0005,Police 6,Movie,2025,Comedy,107,2,110,MKT009
CNT0006,Blue Love,Movie,2024,Sci-Fi,92,7,60,MKT028
CNT0007,Shadow Horizon,Movie,2023,Horror,162,1,10,MKT026
CNT0008,Ithu 9,Series,2024,Action,699,2,90,MKT009
CNT0009,Dangal 10,Movie,2018,Sci-Fi,136,2,20,MKT007
CNT0010,After Promise,Series,2025,Thriller,392,8,10,MKT032
CNT0011,Vento Destino,Movie,2022,Sci-Fi,80,9,80,MKT030
CNT0012,Noche Magia,Movie,2022,Horror,171,10,40,MKT013
CNT0013,Midnight Horizon,Movie,2025,Action,175,4,10,MKT004
CNT0014,Shadow Legacy,Movie,2019,Romance,145,4,10,MKT005
CNT0015,After Flight,Series,2018,Comedy,733,3,10,MKT039
CNT0016,Sangre Magia,Series,2023,Sci-Fi,473,5,40,MKT043
CNT0017,Midnight Horizon,Movie,2025,Sci-Fi,138,1,10,MKT001
CNT0018,Viaje Destino,Series,2023,Thriller,368,10,40,MKT009
CNT0019,Thendi 20,Series,2022,Comedy,598,2,90,MKT046
CNT0020,Sangre Oscura,Series,2022,Romance,717,5,40,MKT009
CNT0021,Dream Night,Movie,2023,Action,116,7,60,MKT046
CNT0022,Berlin Line,Movie,2024,Horror,112,8,70,MKT041
CNT0023,Sangre Magia,Series,2025,Action,802,1,40,MKT048
CNT0024,After Flight,Movie,2023,Sci-Fi,168,4,10,MKT003
CNT0025,Star Mission,Movie,2021,Comedy,126,3,30,MKT014
CNT0026,Eternal Break,Series,2021,Drama,566,7,10,MKT010
CNT0027,After Break,Series,2024,Romance,175,7,10,MKT022
CNT0028,Paris Rêve,Series,2025,Romance,313,6,50,MKT003
CNT0029,Amor Perdido,Movie,2021,Romance,109,9,80,MKT043
CNT0030,Midnight Break,Movie,2024,Drama,115,8,10,MKT033
CNT0031,Nuit Rouge,Series,2022,Romance,268,4,50,MKT038
CNT0032,Love Rain,Movie,2019,Thriller,120,3,30,MKT033
CNT0033,Aashiqui 34,Movie,2026,Thriller,170,2,20,MKT001
CNT0034,After Empire,Series,2019,Thriller,836,6,10,MKT028
CNT0035,Sangre Sueño,Series,2024,Drama,277,5,40,MKT020
CNT0036,Ithu 37,Movie,2024,Horror,104,2,90,MKT043
CNT0037,Corazón Destino,Series,2021,Comedy,711,5,40,MKT019
CNT0038,Noche Magia,Movie,2025,Thriller,136,5,40,MKT033
CNT0039,Sombre Été,Series,2019,Romance,440,6,50,MKT022
CNT0040,Veera 41,Series,2018,Romance,380,2,100,MKT010
CNT0041,Noche Sueño,Movie,2024,Sci-Fi,138,5,40,MKT013
CNT0042,Echo Horizon,Movie,2024,Comedy,176,1,10,MKT050
CNT0043,Viaje Magia,Movie,2025,Romance,86,10,40,MKT008
CNT0044,Midnight Promise,Movie,2026,Sci-Fi,156,5,10,MKT040
CNT0045,Love Mission,Movie,2021,Thriller,140,3,30,MKT049
CNT0046,Ninja Love,Series,2019,Drama,791,7,60,MKT029
CNT0047,Prema 48,Series,2020,Comedy,703,2,100,MKT009
CNT0048,Final Empire,Movie,2025,Horror,133,1,10,MKT035
CNT0049,Code Line,Movie,2024,Comedy,178,8,70,MKT049
CNT0050,Police 11,Movie,2026,Drama,133,2,110,MKT048
CNT0051,Shadow Promise,Series,2024,Comedy,647,4,10,MKT022
